complaint_id,domain,vehicle_model,language,country,complaint_text,timestamp,severity,mileage_km
1001,Infotainment,Mercedes GLB,English,India,Rear camera shows image 2-3 seconds after engaging reverse. Too slow.,2024-05-13 15:45:33,low,57883
1002,Interior,Yamaha YZF-R1,English,Australia,Seatbelt buckle on passenger side very stiff. Hard to insert belt.,2022-10-06 18:40:31,medium,12456
1003,PowerTrain,Yamaha MT-03,English,USA,Exhaust popping loudly on deceleration. More than normal.,2024-07-03 01:56:52,medium,126042
1004,Infotainment,Mercedes GLE,Dutch,Belgium,Achteruitrijcamera toont soms een zwart scherm.,2025-03-24 02:29:47,medium,115761
1005,Infotainment,Mercedes S-Class,French,Belgium,"Le GPS est très en retard, surtout en ville. Inutilisable.",2024-12-25 20:14:35,low,83128
1006,Infotainment,Mercedes CLA,Danish,Denmark,Navigationssystem er meget langsomt til at genberegne ruten.,2025-01-16 22:50:31,high,48839
1007,Infotainment,Mercedes S-Class,German,Germany,Lautstärkeregler funktioniert manchmal nicht. Ton bleibt gleich.,2023-09-23 09:48:46,high,111868
1008,PowerTrain,Mercedes CLS,English,Australia,"Engine getting very hot, coolant boiling sound from under hood. Scary.",2023-03-23 08:13:15,critical,180799
1009,Interior,Yamaha MT-15,English,New Zealand,Remote central locking stopped working. Battery changed but same problem.,2023-08-21 16:57:27,low,31685
1010,Infotainment,Yamaha R3,French,Switzerland,Le système redémarre tout seul en conduisant. Très perturbant.,2022-07-19 22:02:55,critical,37850
1011,Interior,Yamaha WR155,English,New Zealand,AC fan on max setting makes rattling sound. Normal speeds are quiet.,2024-09-10 08:32:41,high,87052
1012,Infotainment,Mercedes GLA,Swedish,Sweden,Backkameran visar svart bild ibland när man lägger i backen.,2023-09-30 20:38:15,critical,10832
1013,PowerTrain,Yamaha MT-07,English,New Zealand,Check engine light on. Scanner shows O2 sensor fault code.,2022-08-22 03:13:59,critical,121384
1014,Infotainment,Yamaha MT-07,Polish,Poland,Ekran dotykowy całkowicie się zawiesił podczas jazdy autostradą.,2024-04-11 13:03:46,critical,84473
1015,Infotainment,Yamaha NMAX,Swedish,Sweden,Pekskärmen svarar inte vid kallt väder på morgonen.,2024-07-23 02:41:30,low,68667
1016,Interior,Mercedes G-Class,English,Australia,Mirror adjustment buttons stopped working. Cant adjust driver side mirror.,2025-01-17 13:45:49,low,66840
1017,Interior,Mercedes S-Class,English,India,AC stopped blowing cold air suddenly. Works for 10 mins then goes warm again.,2022-11-03 05:41:48,low,74968
1018,Infotainment,Mercedes GLB,Italian,Italy,Il touchscreen non risponde al tocco quando fa freddo.,2024-07-22 22:44:22,low,10458
1019,PowerTrain,Mercedes S-Class,English,India,Transmission jerks violently sometimes randomly while cruising. No warning.,2024-10-12 16:45:37,critical,51828
1020,Infotainment,Yamaha FZ25,German,Austria,Rückfahrkamera zeigt schwarzes Bild manchmal beim Einlegen des Rückwärtsgangs.,2023-12-04 07:05:19,high,56600
1021,Infotainment,Yamaha WR155,English,Canada,Rear camera shows image 2-3 seconds after engaging reverse. Too slow.,2024-01-13 01:56:31,high,106785
1022,Interior,Yamaha MT-09,English,South Africa,Footrest area gets very hot on long drives. Almost burns foot through shoe.,2022-12-28 11:31:05,critical,35997
1023,Interior,Mercedes A-Class,English,New Zealand,Steering shakes badly when going over rough patches. Feels very unstable.,2024-01-23 08:17:43,medium,25257
1024,PowerTrain,Mercedes CLS,English,New Zealand,Harsh jerk during gear change esp in morning when engine cold.,2024-02-20 10:35:56,high,59367
1025,PowerTrain,Mercedes GLB,German,Switzerland,Kupplung schleift auf Steigungen beim Anfahren. Brenngeruch wahrnehmbar.,2022-07-03 19:10:05,high,93017
1026,Interior,Mercedes A-Class,English,UK,Seat shaking alot when doing 80kmh+. Very uncomfortable cant ride for long.,2023-04-05 15:24:52,medium,30795
1027,Infotainment,Yamaha YZF-R1,French,France,L'assistant vocal ne comprend pas mes commandes. Inutilisable.,2022-09-19 17:06:23,high,109172
1028,Interior,Mercedes E-Class,English,UK,Seatbelt buckle on passenger side very stiff. Hard to insert belt.,2022-10-18 08:00:57,medium,20333
